"provinceName","provinceShortName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId","statisticsData"
"香港","香港",692,960,24,264,4,810000,"https://file1.dxycdn.com/2020/0223/331/3398299755968040033-135.json"
"湖北省","湖北",448,67803,0,64142,3213,420000,"https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json"
"台湾","台湾",313,379,10,61,5,710000,"https://file1.dxycdn.com/2020/0223/045/3398299749526003760-135.json"
"北京市","北京",125,588,164,455,8,110000,"https://file1.dxycdn.com/2020/0223/004/3398299758115524169-135.json"
"上海市","上海",119,543,19,417,7,310000,"https://file1.dxycdn.com/2020/0223/128/3398299755968454977-135.json"
"广东省","广东",117,1536,11,1411,8,440000,"https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json"
"黑龙江省","黑龙江",86,569,0,470,13,230000,"https://file1.dxycdn.com/2020/0223/643/3398299753820971199-135.json"
"内蒙古自治区","内蒙古",49,124,0,74,1,150000,"https://file1.dxycdn.com/2020/0223/783/3398299758115938727-135.json"
"福建省","福建",42,351,3,308,1,350000,"https://file1.dxycdn.com/2020/0223/744/3398299751673071813-135.json"
"澳门","澳门",35,45,9,10,0,820000,"https://file1.dxycdn.com/2020/0223/840/3398299753820971267-135.json"
"浙江省","浙江",33,1266,3,1232,1,330000,"https://file1.dxycdn.com/2020/0223/537/3398299755968455045-135.json"
"山西省","山西",29,163,5,134,0,140000,"https://file1.dxycdn.com/2020/0223/196/3398299755968040081-135.json"
"天津市","天津",25,180,0,152,3,120000,"https://file1.dxycdn.com/2020/0223/669/3398299753820555949-135.json"
"山东省","山东",21,783,14,755,7,370000,"https://file1.dxycdn.com/2020/0223/601/3398299749526003726-135.json"
"江苏省","江苏",18,651,3,633,0,320000,"https://file1.dxycdn.com/2020/0223/111/3398299753820971290-135.json"
"四川省","四川",16,560,13,541,3,510000,"https://file1.dxycdn.com/2020/0223/926/3398299755968455035-135.json"
"辽宁省","辽宁",11,144,0,131,2,210000,"https://file1.dxycdn.com/2020/0223/815/3398299758115938736-135.json"
"河北省","河北",9,327,0,312,6,130000,"https://file1.dxycdn.com/2020/0223/473/3398299751673487477-135.json"
"云南省","云南",9,184,0,173,2,530000,"https://file1.dxycdn.com/2020/0223/159/3398299758115523929-135.json"
"陕西省","陕西",7,256,1,246,3,610000,"https://file1.dxycdn.com/2020/0223/857/3398299753820971228-135.json"
"甘肃省","甘肃",4,139,0,133,2,620000,"https://file1.dxycdn.com/2020/0223/559/3398299755968040166-135.json"
"吉林省","吉林",4,98,2,93,1,220000,"https://file1.dxycdn.com/2020/0223/046/3398299755968039975-135.json"
"重庆市","重庆",3,579,1,570,6,500000,"https://file1.dxycdn.com/2020/0223/368/3398299751673487486-135.json"
"河南省","河南",2,1276,0,1252,22,410000,"https://file1.dxycdn.com/2020/0223/958/3398299751673487456-135.json"
"湖南省","湖南",1,1019,0,1014,4,430000,"https://file1.dxycdn.com/2020/0223/440/3398299751673072079-135.json"
"江西省","江西",1,937,0,935,1,360000,"https://file1.dxycdn.com/2020/0223/161/3398299751673072165-135.json"
"贵州省","贵州",1,147,0,144,2,520000,"https://file1.dxycdn.com/2020/0223/148/3398299753820971243-135.json"
"安徽省","安徽",0,990,0,984,6,340000,"https://file1.dxycdn.com/2020/0223/734/3398299753820971301-135.json"
"广西壮族自治区","广西",0,254,0,252,2,450000,"https://file1.dxycdn.com/2020/0223/536/3398299758115523880-135.json"
"海南省","海南",0,168,0,162,6,460000,"https://file1.dxycdn.com/2020/0223/126/3398299753820555862-135.json"
"新疆维吾尔自治区","新疆",0,76,0,73,3,650000,"https://file1.dxycdn.com/2020/0223/497/3398299753820556085-135.json"
"宁夏回族自治区","宁夏",0,75,0,75,0,640000,"https://file1.dxycdn.com/2020/0223/353/3398299755968455019-135.json"
"青海省","青海",0,18,0,18,0,630000,"https://file1.dxycdn.com/2020/0223/581/3398299758115524121-135.json"
"西藏自治区","西藏",0,1,0,1,0,540000,"https://file1.dxycdn.com/2020/0223/353/3398299755968039885-135.json"
