"cityName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId"
"境外输入",115,204,0,89,0,0
"外地来沪",4,111,0,107,0,0
"宝山区",2,22,0,19,1,310113
"嘉定区",1,9,0,7,1,310114
"浦东新区",0,61,0,60,1,310115
"闵行区",0,19,0,19,0,310112
"徐汇区",0,18,0,17,1,310104
"静安区",0,16,0,15,1,310106
"松江区",0,14,0,14,0,310117
"长宁区",0,13,0,13,0,310105
"普陀区",0,11,0,11,0,310107
"杨浦区",0,9,0,9,0,310110
"奉贤区",0,9,0,9,0,310120
"虹口区",0,7,0,7,0,310109
"黄浦区",0,6,0,6,0,310101
"青浦区",0,6,0,6,0,310118
"金山区",0,4,0,4,0,310116
"崇明区",0,4,0,4,0,310151
"待明确地区",-3,0,0,1,2,0
