"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
1,1,0,0,1,1,20200120,0,0
9,8,0,0,9,8,20200121,0,0
16,7,0,0,16,7,20200122,0,0
20,4,0,0,20,4,20200123,0,0
33,13,0,0,32,12,20200124,1,1
40,7,1,1,38,6,20200125,1,0
53,13,1,0,51,13,20200126,1,0
66,13,3,2,62,11,20200127,1,0
80,14,4,1,75,13,20200128,1,0
101,21,5,1,95,20,20200129,1,0
128,27,5,0,122,27,20200130,1,0
153,25,9,4,143,21,20200131,1,0
177,24,10,1,166,23,20200201,1,0
193,16,10,0,182,16,20200202,1,0
208,15,10,0,197,15,20200203,1,0
233,25,12,2,220,23,20200204,1,0
254,21,15,3,238,18,20200205,1,0
269,15,25,10,243,5,20200206,1,0
281,12,30,5,250,7,20200207,1,0
292,11,41,11,250,0,20200208,1,0
295,3,44,3,250,0,20200209,1,0
302,7,48,4,253,3,20200210,1,0
306,4,53,5,252,-1,20200211,1,0
313,7,57,4,255,3,20200212,1,0
318,5,62,5,255,0,20200213,1,0
326,8,90,28,235,-20,20200214,1,0
328,2,124,34,203,-32,20200215,1,0
331,3,140,16,190,-13,20200216,1,0
333,2,161,21,171,-19,20200217,1,0
333,0,177,16,155,-16,20200218,1,0
333,0,186,9,145,-10,20200219,2,1
334,1,199,13,133,-12,20200220,2,0
334,0,211,12,120,-13,20200221,3,1
335,1,227,16,105,-15,20200222,3,0
335,0,249,22,83,-22,20200223,3,0
335,0,261,12,71,-12,20200224,3,0
336,1,268,7,65,-6,20200225,3,0
337,1,272,4,62,-3,20200226,3,0
337,0,276,4,58,-4,20200227,3,0
337,0,279,3,55,-3,20200228,3,0
337,0,287,8,47,-8,20200229,3,0
337,0,290,3,44,-3,20200301,3,0
338,1,292,2,43,-1,20200302,3,0
338,0,294,2,41,-2,20200303,3,0
338,0,298,4,37,-4,20200304,3,0
339,1,303,5,33,-4,20200305,3,0
342,3,306,3,33,0,20200306,3,0
342,0,313,7,26,-7,20200307,3,0
342,0,314,1,25,-1,20200308,3,0
342,0,315,1,24,-1,20200309,3,0
344,2,319,4,22,-2,20200310,3,0
344,0,320,1,21,-1,20200311,3,0
346,2,321,1,22,1,20200312,3,0
350,4,324,3,23,1,20200313,3,0
353,3,324,0,26,3,20200314,3,0
355,2,324,0,28,2,20200315,3,0
358,3,325,1,30,2,20200316,3,0
361,3,325,0,33,3,20200317,3,0
363,2,326,1,34,1,20200318,3,0
371,8,326,0,42,8,20200319,3,0
380,9,326,0,51,9,20200320,3,0
394,14,327,1,63,12,20200321,4,1
404,10,328,1,72,9,20200322,4,0
413,9,329,1,80,8,20200323,4,0
433,20,330,1,98,18,20200324,5,1
451,18,330,0,116,18,20200325,5,0
468,17,331,1,132,16,20200326,5,0
485,17,334,3,146,14,20200327,5,0
492,7,334,0,153,7,20200328,5,0
498,6,334,0,159,6,20200329,5,0
509,11,338,4,166,7,20200330,5,0
516,7,341,3,169,3,20200331,6,1
522,6,343,2,173,4,20200401,6,0
531,9,356,13,169,-4,20200404,6,0
536,5,383,27,147,-22,20200405,6,0
538,2,389,6,143,-4,20200406,6,0
