"cityName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId"
"境外输入",119,172,2,53,0,0
"朝阳区",72,72,0,0,0,110105
"海淀区",64,64,0,0,0,110108
"西城区",53,53,0,0,0,110102
"丰台区",40,43,0,3,0,110106
"大兴区",23,39,0,16,0,110115
"外地来京",23,25,0,2,0,0
"昌平区",19,29,0,10,0,110114
"通州区",18,19,0,1,0,110112
"房山区",13,16,0,3,0,110111
"东城区",13,14,0,1,0,110101
"怀柔区",7,7,0,0,0,110116
"密云区",7,7,0,0,0,110118
"石景山区",5,14,0,9,0,110107
"门头沟区",1,3,0,2,0,110109
"延庆区",1,1,0,0,0,110119
"顺义区",0,10,0,10,0,110113
"待明确地区",-353,0,0,345,8,0
