"cityName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId"
"成都",16,165,13,146,3,510100
"甘孜州",0,78,0,78,0,513300
"达州",0,42,0,42,0,511700
"南充",0,39,0,39,0,511300
"广安",0,30,0,30,0,511600
"泸州",0,24,0,24,0,510500
"巴中",0,24,0,24,0,511900
"绵阳",0,22,0,22,0,510700
"内江",0,22,0,22,0,511000
"德阳",0,18,0,18,0,510600
"遂宁",0,17,0,17,0,510900
"攀枝花",0,16,0,16,0,510400
"凉山州",0,13,0,13,0,513400
"宜宾",0,12,0,12,0,511500
"自贡",0,9,0,9,0,510300
"眉山",0,8,0,8,0,511400
"雅安",0,7,0,7,0,511800
"广元",0,6,0,6,0,510800
"资阳",0,4,0,4,0,512000
"乐山",0,3,0,3,0,511100
"阿坝州",0,1,0,1,0,513200
