"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
7,7,0,0,7,7,20200122,0,0
15,8,0,0,15,8,20200123,0,0
28,13,0,0,28,13,20200124,0,0
44,16,0,0,44,16,20200125,0,0
69,25,0,0,69,25,20200126,0,0
90,21,0,0,90,21,20200127,0,0
108,18,0,0,108,18,20200128,0,0
142,34,1,1,140,32,20200129,1,1
177,35,1,0,175,35,20200130,1,0
207,30,3,2,203,28,20200131,1,0
231,24,3,0,227,24,20200201,1,0
254,23,12,9,241,14,20200202,1,0
282,28,14,2,267,26,20200203,1,0
301,19,23,9,277,10,20200204,1,0
321,20,27,4,293,16,20200205,1,0
344,23,37,10,306,13,20200206,1,0
363,19,50,13,312,6,20200207,1,0
386,23,60,10,325,13,20200208,1,0
405,19,76,16,328,3,20200209,1,0
417,12,82,6,334,6,20200210,1,0
436,19,85,3,350,16,20200211,1,0
451,15,93,8,357,7,20200212,1,0
463,12,105,12,357,0,20200213,1,0
470,7,115,10,354,-3,20200214,1,0
481,11,127,12,351,-3,20200215,3,2
495,14,136,9,356,5,20200216,3,0
508,13,163,27,342,-14,20200217,3,0
514,6,177,14,334,-8,20200218,3,0
520,6,198,21,319,-15,20200219,3,0
525,5,222,24,300,-19,20200220,3,0
526,1,242,20,281,-19,20200221,3,0
526,0,256,14,267,-14,20200222,3,0
527,1,263,7,261,-6,20200223,3,0
529,2,278,15,248,-13,20200224,3,0
531,2,292,14,236,-12,20200225,3,0
534,3,310,18,221,-15,20200226,3,0
538,4,326,16,209,-12,20200227,3,0
538,0,350,24,185,-24,20200228,3,0
538,0,363,13,172,-13,20200229,3,0
538,0,378,15,157,-15,20200301,3,0
538,0,389,11,146,-11,20200302,3,0
538,0,400,11,135,-11,20200303,3,0
539,1,418,18,118,-17,20200304,3,0
539,0,428,10,108,-10,20200305,3,0
539,0,448,20,88,-20,20200306,3,0
539,0,457,9,79,-9,20200307,3,0
539,0,465,8,71,-8,20200308,3,0
539,0,470,5,66,-5,20200309,3,0
539,0,484,14,52,-14,20200310,3,0
539,0,494,10,42,-10,20200311,3,0
539,0,500,6,36,-6,20200312,3,0
539,0,510,10,26,-10,20200313,3,0
539,0,515,5,21,-5,20200314,3,0
539,0,516,1,20,-1,20200315,3,0
539,0,520,4,16,-4,20200316,3,0
540,1,525,5,12,-4,20200317,3,0
540,0,531,6,6,-6,20200318,3,0
541,1,536,5,2,-4,20200319,3,0
542,1,536,0,3,1,20200320,3,0
543,1,536,0,4,1,20200321,3,0
543,0,536,0,4,0,20200322,3,0
545,2,536,0,6,2,20200323,3,0
547,2,536,0,8,2,20200324,3,0
547,0,536,0,8,0,20200325,3,0
548,1,536,0,9,1,20200326,3,0
548,0,536,0,9,0,20200327,3,0
550,2,536,0,11,2,20200328,3,0
550,0,536,0,11,0,20200329,3,0
550,0,536,0,11,0,20200330,3,0
552,2,536,0,13,2,20200331,3,0
554,2,537,1,14,1,20200401,3,0
558,4,539,2,16,2,20200404,3,0
559,1,540,1,16,0,20200405,3,0
560,1,541,1,16,0,20200406,3,0
