"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
2,2,0,0,2,2,20200121,0,0
4,2,0,0,4,2,20200122,0,0
5,1,0,0,5,1,20200123,0,0
8,3,0,0,8,3,20200124,0,0
10,2,0,0,10,2,20200125,0,0
14,4,0,0,14,4,20200126,0,0
23,9,0,0,23,9,20200127,0,0
24,1,0,0,24,1,20200128,0,0
27,3,0,0,27,3,20200129,0,0
31,4,0,0,31,4,20200130,0,0
32,1,0,0,32,1,20200131,0,0
41,9,0,0,41,9,20200201,0,0
48,7,1,1,47,6,20200202,0,0
60,12,1,0,59,12,20200203,0,0
67,7,2,1,65,6,20200204,0,0
78,11,2,0,75,10,20200205,1,1
79,1,2,0,76,1,20200206,1,0
81,2,2,0,78,2,20200207,1,0
88,7,4,2,83,5,20200208,1,0
91,3,4,0,86,3,20200209,1,0
95,4,4,0,89,3,20200210,2,1
106,11,10,6,94,5,20200211,2,0
112,6,11,1,99,5,20200212,2,0
119,7,21,10,95,-4,20200213,3,1
120,1,32,11,85,-10,20200214,3,0
122,2,37,5,82,-3,20200215,3,0
124,2,45,8,76,-6,20200216,3,0
125,1,46,1,76,0,20200217,3,0
128,3,48,2,77,1,20200218,3,0
130,2,54,6,73,-4,20200219,3,0
131,1,59,5,69,-4,20200220,3,0
133,2,62,3,68,-1,20200221,3,0
135,2,65,3,67,-1,20200222,3,0
135,0,81,16,51,-16,20200223,3,0
135,0,87,6,45,-6,20200224,3,0
135,0,91,4,41,-4,20200225,3,0
135,0,96,5,36,-5,20200226,3,0
136,1,102,6,31,-5,20200227,3,0
136,0,105,3,28,-3,20200228,3,0
136,0,109,4,24,-4,20200229,3,0
136,0,111,2,22,-2,20200301,3,0
136,0,118,7,15,-7,20200302,3,0
136,0,124,6,9,-6,20200303,3,0
136,0,128,4,5,-4,20200304,3,0
136,0,128,0,5,0,20200305,3,0
136,0,128,0,5,0,20200306,3,0
136,0,128,0,5,0,20200307,3,0
136,0,129,1,4,-1,20200308,3,0
136,0,130,1,3,-1,20200309,3,0
136,0,131,1,2,-1,20200310,3,0
136,0,132,1,1,-1,20200311,3,0
136,0,132,0,1,0,20200312,3,0
136,0,132,0,1,0,20200313,3,0
136,0,132,0,1,0,20200314,3,0
136,0,133,1,0,-1,20200315,3,0
136,0,133,0,0,0,20200316,3,0
136,0,133,0,0,0,20200317,3,0
136,0,133,0,0,0,20200318,3,0
137,1,133,0,1,1,20200319,3,0
137,0,133,0,1,0,20200320,3,0
137,0,133,0,1,0,20200321,3,0
137,0,133,0,1,0,20200322,3,0
141,4,133,0,5,4,20200323,3,0
145,4,133,0,9,4,20200324,3,0
147,2,133,0,11,2,20200325,3,0
152,5,133,0,16,5,20200326,3,0
156,4,133,0,20,4,20200327,3,0
163,7,133,0,27,7,20200328,3,0
166,3,133,0,30,3,20200329,3,0
174,8,133,0,38,8,20200330,3,0
174,0,135,2,36,-2,20200331,3,0
176,2,135,0,38,2,20200401,3,0
180,4,144,9,33,-5,20200404,3,0
180,0,144,0,33,0,20200405,3,0
180,0,151,7,26,-7,20200406,3,0
