"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
9,9,0,0,9,9,20200122,0,0
15,6,0,0,15,6,20200123,0,0
39,24,0,0,39,24,20200124,0,0
60,21,0,0,60,21,20200125,0,0
70,10,0,0,70,10,20200126,0,0
106,36,0,0,106,36,20200127,0,0
152,46,0,0,152,46,20200128,0,0
200,48,2,2,198,46,20200129,0,0
237,37,3,1,234,36,20200130,0,0
297,60,3,0,294,60,20200131,0,0
340,43,7,4,333,39,20200201,0,0
408,68,7,0,401,68,20200202,0,0
480,72,14,7,466,65,20200203,0,0
530,50,20,6,510,44,20200204,0,0
591,61,23,3,568,58,20200205,0,0
665,74,34,11,631,63,20200206,0,0
733,68,47,13,686,55,20200207,0,0
779,46,59,12,719,33,20200208,1,1
830,51,73,14,754,35,20200209,3,2
860,30,88,15,768,14,20200210,4,1
889,29,108,20,777,9,20200211,4,0
910,21,128,20,777,0,20200212,5,1
934,24,166,38,762,-15,20200213,6,1
950,16,198,32,746,-16,20200214,6,0
962,12,232,34,724,-22,20200215,6,0
973,11,266,34,701,-23,20200216,6,0
982,9,293,27,683,-18,20200217,6,0
986,4,361,68,619,-64,20200218,6,0
987,1,424,63,557,-62,20200219,6,0
988,1,500,76,482,-75,20200220,6,0
989,1,567,67,416,-66,20200221,6,0
989,0,620,53,363,-53,20200222,6,0
989,0,648,28,335,-28,20200223,6,0
989,0,692,44,291,-44,20200224,6,0
989,0,727,35,256,-35,20200225,6,0
989,0,764,37,219,-37,20200226,6,0
990,1,814,50,170,-49,20200227,6,0
990,0,842,28,142,-28,20200228,6,0
990,0,868,26,116,-26,20200229,6,0
990,0,888,20,96,-20,20200301,6,0
990,0,917,29,67,-29,20200302,6,0
990,0,941,24,43,-24,20200303,6,0
990,0,956,15,28,-15,20200304,6,0
990,0,970,14,14,-14,20200305,6,0
990,0,979,9,5,-9,20200306,6,0
990,0,981,2,3,-2,20200307,6,0
990,0,984,3,0,-3,20200308,6,0
990,0,984,0,0,0,20200309,6,0
990,0,984,0,0,0,20200310,6,0
990,0,984,0,0,0,20200311,6,0
990,0,984,0,0,0,20200312,6,0
990,0,984,0,0,0,20200313,6,0
990,0,984,0,0,0,20200314,6,0
990,0,984,0,0,0,20200315,6,0
990,0,984,0,0,0,20200316,6,0
990,0,984,0,0,0,20200317,6,0
990,0,984,0,0,0,20200318,6,0
990,0,984,0,0,0,20200319,6,0
990,0,984,0,0,0,20200320,6,0
990,0,984,0,0,0,20200321,6,0
990,0,984,0,0,0,20200322,6,0
990,0,984,0,0,0,20200323,6,0
990,0,984,0,0,0,20200324,6,0
990,0,984,0,0,0,20200325,6,0
990,0,984,0,0,0,20200326,6,0
990,0,984,0,0,0,20200327,6,0
990,0,984,0,0,0,20200328,6,0
990,0,984,0,0,0,20200329,6,0
990,0,984,0,0,0,20200330,6,0
990,0,984,0,0,0,20200331,6,0
990,0,984,0,0,0,20200401,6,0
990,0,984,0,0,0,20200404,6,0
990,0,984,0,0,0,20200405,6,0
990,0,984,0,0,0,20200406,6,0
