"cityName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId"
"境外输入",19,22,14,3,0,0
"济宁",0,260,0,260,0,370800
"青岛",0,61,0,60,1,370200
"临沂",0,49,0,49,0,371300
"济南",0,47,0,47,0,370100
"烟台",0,47,0,47,0,370600
"潍坊",0,44,0,44,0,370700
"威海",0,38,0,37,1,371000
"聊城",0,38,0,38,0,371500
"德州",0,37,0,35,2,371400
"泰安",0,35,0,33,2,370900
"淄博",0,30,0,29,1,370300
"枣庄",0,24,0,24,0,370400
"菏泽",0,18,0,18,0,371700
"日照",0,16,0,16,0,371100
"滨州",0,15,0,15,0,371600
"待明确地区",2,2,0,0,0,0
