"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
9,9,0,0,9,9,20200123,0,0
21,12,0,0,21,12,20200124,0,0
39,18,0,0,39,18,20200125,0,0
63,24,0,0,63,24,20200126,0,0
87,24,0,0,87,24,20200127,0,0
121,34,0,0,121,34,20200128,0,0
145,24,1,1,144,23,20200129,0,0
178,33,2,1,176,32,20200130,0,0
202,24,2,0,200,24,20200131,0,0
225,23,5,3,220,20,20200201,0,0
246,21,6,1,240,20,20200202,0,0
270,24,7,1,263,23,20200203,0,0
298,28,13,6,285,22,20200204,0,0
343,45,18,5,325,40,20200205,0,0
379,36,31,13,348,23,20200206,0,0
407,28,38,7,369,21,20200207,0,0
435,28,50,12,384,15,20200208,1,1
459,24,63,13,395,11,20200209,1,0
486,27,71,8,414,19,20200210,1,0
497,11,80,9,416,2,20200211,1,0
506,9,98,18,406,-10,20200212,2,1
519,13,111,13,406,0,20200213,2,0
530,11,139,28,389,-17,20200214,2,0
537,7,164,25,371,-18,20200215,2,0
541,4,175,11,364,-7,20200216,2,0
543,2,193,18,348,-16,20200217,2,0
544,1,215,22,326,-22,20200218,3,1
546,2,238,23,304,-22,20200219,4,1
748,202,270,32,474,170,20200220,4,0
750,2,293,23,453,-21,20200221,4,0
754,4,311,18,439,-14,20200222,4,0
755,1,325,14,426,-13,20200223,4,0
755,0,343,18,406,-20,20200224,6,2
756,1,357,14,393,-13,20200225,6,0
756,0,381,24,369,-24,20200226,6,0
756,0,390,9,360,-9,20200227,6,0
756,0,411,21,339,-21,20200228,6,0
756,0,431,20,319,-20,20200229,6,0
758,2,455,24,297,-22,20200301,6,0
758,0,497,42,255,-42,20200302,6,0
758,0,511,14,241,-14,20200303,6,0
758,0,576,65,176,-65,20200304,6,0
758,0,602,26,150,-26,20200305,6,0
758,0,625,23,127,-23,20200306,6,0
758,0,637,12,115,-12,20200307,6,0
758,0,647,10,105,-10,20200308,6,0
758,0,703,56,49,-56,20200309,6,0
759,1,721,18,32,-17,20200310,6,0
760,1,733,12,21,-11,20200311,6,0
760,0,739,6,14,-7,20200312,7,1
760,0,740,1,13,-1,20200313,7,0
760,0,741,1,12,-1,20200314,7,0
760,0,743,2,10,-2,20200315,7,0
761,1,746,3,8,-2,20200316,7,0
761,0,746,0,8,0,20200317,7,0
761,0,747,1,7,-1,20200318,7,0
762,1,748,1,7,0,20200319,7,0
764,2,749,1,8,1,20200320,7,0
765,1,750,1,8,0,20200321,7,0
767,2,751,1,9,1,20200322,7,0
768,1,752,1,9,0,20200323,7,0
769,1,752,0,10,1,20200324,7,0
769,0,752,0,10,0,20200325,7,0
771,2,752,0,12,2,20200326,7,0
772,1,752,0,13,1,20200327,7,0
772,0,752,0,13,0,20200328,7,0
773,1,753,1,13,0,20200329,7,0
774,1,753,0,14,1,20200330,7,0
774,0,753,0,14,0,20200331,7,0
775,1,753,0,15,1,20200401,7,0
779,4,755,2,17,2,20200404,7,0
780,1,755,0,18,1,20200405,7,0
781,1,755,0,19,1,20200406,7,0
