"cityName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId"
"广州",112,464,6,351,1,440100
"深圳",37,456,1,416,3,440300
"佛山",12,96,1,84,0,440600
"珠海",5,103,1,97,1,440400
"揭阳",3,11,0,8,0,445200
"湛江",2,24,2,22,0,440800
"汕头",1,26,0,25,0,440500
"江门",1,24,0,23,0,440700
"肇庆",1,20,0,18,1,441200
"梅州",1,17,0,16,0,441400
"潮州",1,6,0,5,0,445100
"东莞",0,100,0,99,1,441900
"中山",0,68,0,68,0,442000
"惠州",0,62,0,62,0,441300
"阳江",0,14,0,14,0,441700
"茂名",0,14,0,14,0,440900
"清远",0,12,0,12,0,441800
"韶关",0,10,0,9,1,440200
"汕尾",0,5,0,5,0,441500
"河源",0,4,0,4,0,441600
"待明确地区",-59,0,0,59,0,0
