"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
2,2,0,0,2,2,20200122,0,0
13,11,0,0,13,11,20200123,0,0
23,10,0,0,23,10,20200124,0,0
33,10,0,0,33,10,20200125,0,0
46,13,0,0,46,13,20200126,0,0
51,5,0,0,51,5,20200127,0,0
58,7,2,2,56,5,20200128,0,0
78,20,2,0,76,20,20200129,0,0
87,9,2,0,85,9,20200130,0,0
100,13,2,0,98,13,20200131,0,0
111,11,2,0,109,11,20200201,0,0
127,16,2,0,125,16,20200202,0,0
139,12,7,5,132,7,20200203,0,0
150,11,10,3,140,8,20200204,0,0
168,18,14,4,154,14,20200205,0,0
172,4,17,3,155,1,20200206,0,0
183,11,17,0,166,11,20200207,0,0
195,12,18,1,176,10,20200208,1,1
210,15,18,0,191,15,20200209,1,0
215,5,30,12,184,-7,20200210,1,0
222,7,31,1,190,6,20200211,1,0
222,0,33,2,187,-3,20200212,2,1
226,4,35,2,189,2,20200213,2,0
235,9,40,5,193,4,20200214,2,0
237,2,46,6,189,-4,20200215,2,0
238,1,51,5,185,-4,20200216,2,0
242,4,58,7,182,-3,20200217,2,0
244,2,76,18,166,-16,20200218,2,0
245,1,87,11,156,-10,20200219,2,0
246,1,95,8,149,-7,20200220,2,0
249,3,99,4,148,-1,20200221,2,0
249,0,104,5,143,-5,20200222,2,0
251,2,107,3,142,-1,20200223,2,0
252,1,129,22,121,-21,20200224,2,0
252,0,138,9,112,-9,20200225,2,0
252,0,159,21,91,-21,20200226,2,0
252,0,166,7,84,-7,20200227,2,0
252,0,172,6,78,-6,20200228,2,0
252,0,179,7,71,-7,20200229,2,0
252,0,188,9,62,-9,20200301,2,0
252,0,202,14,48,-14,20200302,2,0
252,0,210,8,40,-8,20200303,2,0
252,0,213,3,37,-3,20200304,2,0
252,0,217,4,33,-4,20200305,2,0
252,0,219,2,31,-2,20200306,2,0
252,0,223,4,27,-4,20200307,2,0
252,0,230,7,20,-7,20200308,2,0
252,0,234,4,16,-4,20200309,2,0
252,0,237,3,13,-3,20200310,2,0
252,0,241,4,9,-4,20200311,2,0
252,0,243,2,7,-2,20200312,2,0
252,0,243,0,7,0,20200313,2,0
252,0,243,0,7,0,20200314,2,0
252,0,247,4,3,-4,20200315,2,0
253,1,248,1,3,0,20200316,2,0
253,0,250,2,1,-2,20200317,2,0
253,0,250,0,1,0,20200318,2,0
254,1,250,0,2,1,20200319,2,0
254,0,250,0,2,0,20200320,2,0
254,0,250,0,2,0,20200321,2,0
254,0,250,0,2,0,20200322,2,0
254,0,250,0,2,0,20200323,2,0
254,0,250,0,2,0,20200324,2,0
254,0,250,0,2,0,20200325,2,0
254,0,250,0,2,0,20200326,2,0
254,0,250,0,2,0,20200327,2,0
254,0,250,0,2,0,20200328,2,0
254,0,250,0,2,0,20200329,2,0
254,0,250,0,2,0,20200330,2,0
254,0,250,0,2,0,20200331,2,0
254,0,252,2,0,-2,20200401,2,0
254,0,252,0,0,0,20200404,2,0
254,0,252,0,0,0,20200405,2,0
254,0,252,0,0,0,20200406,2,0
