"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
1,1,0,0,1,1,20200122,0,0
2,1,0,0,2,1,20200123,0,0
8,6,0,0,7,5,20200124,1,1
13,5,0,0,12,5,20200125,1,0
18,5,0,0,17,5,20200126,1,0
33,15,0,0,32,15,20200127,1,0
48,15,0,0,47,15,20200128,1,0
65,17,0,0,64,17,20200129,1,0
82,17,0,0,81,17,20200130,1,0
96,14,0,0,95,14,20200131,1,0
104,8,3,3,100,5,20200201,1,0
113,9,3,0,109,9,20200202,1,0
126,13,3,0,122,13,20200203,1,0
135,9,4,1,130,8,20200204,1,0
157,22,7,3,149,19,20200205,1,0
171,14,16,9,154,5,20200206,1,0
195,24,25,9,169,15,20200207,1,0
206,11,30,5,174,5,20200208,2,1
218,12,35,5,181,7,20200209,2,0
239,21,41,6,196,15,20200210,2,0
251,12,48,7,201,5,20200211,2,0
265,14,54,6,208,7,20200212,3,1
283,18,69,15,211,3,20200213,3,0
291,8,86,17,202,-9,20200214,3,0
300,9,100,14,197,-5,20200215,3,0
301,1,109,9,189,-8,20200216,3,0
302,1,123,14,175,-14,20200217,4,1
306,4,136,13,166,-9,20200218,4,0
307,1,152,16,150,-16,20200219,5,1
308,1,170,18,133,-17,20200220,5,0
309,1,184,14,119,-14,20200221,6,1
311,2,204,20,101,-18,20200222,6,0
311,0,221,17,84,-17,20200223,6,0
311,0,241,20,64,-20,20200224,6,0
312,1,248,7,58,-6,20200225,6,0
317,5,261,13,50,-8,20200226,6,0
318,1,274,13,38,-12,20200227,6,0
318,0,277,3,35,-3,20200228,6,0
318,0,283,6,29,-6,20200229,6,0
318,0,294,11,18,-11,20200301,6,0
318,0,297,3,15,-3,20200302,6,0
318,0,300,3,12,-3,20200303,6,0
318,0,301,1,11,-1,20200304,6,0
318,0,304,3,8,-3,20200305,6,0
318,0,305,1,7,-1,20200306,6,0
318,0,307,2,5,-2,20200307,6,0
318,0,307,0,5,0,20200308,6,0
318,0,307,0,5,0,20200309,6,0
318,0,307,0,5,0,20200310,6,0
318,0,307,0,5,0,20200311,6,0
318,0,310,3,2,-3,20200312,6,0
318,0,310,0,2,0,20200313,6,0
318,0,310,0,2,0,20200314,6,0
318,0,310,0,2,0,20200315,6,0
318,0,310,0,2,0,20200316,6,0
318,0,310,0,2,0,20200317,6,0
318,0,310,0,2,0,20200318,6,0
318,0,310,0,2,0,20200319,6,0
318,0,310,0,2,0,20200320,6,0
319,1,310,0,3,1,20200321,6,0
319,0,310,0,3,0,20200322,6,0
319,0,310,0,3,0,20200323,6,0
319,0,310,0,3,0,20200324,6,0
319,0,310,0,3,0,20200325,6,0
319,0,310,0,3,0,20200326,6,0
319,0,310,0,3,0,20200327,6,0
319,0,310,0,3,0,20200328,6,0
321,2,310,0,5,2,20200329,6,0
321,0,310,0,5,0,20200330,6,0
323,2,310,0,7,2,20200331,6,0
325,2,310,0,9,2,20200401,6,0
327,2,310,0,11,2,20200404,6,0
327,0,310,0,11,0,20200405,6,0
327,0,312,2,9,-2,20200406,6,0
