"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
1,1,0,0,1,1,20200121,0,0
4,3,0,0,4,3,20200122,0,0
9,5,0,0,9,5,20200123,0,0
32,23,0,0,32,23,20200124,0,0
83,51,0,0,82,50,20200125,1,1
128,45,0,0,127,45,20200126,1,0
168,40,0,0,167,40,20200127,1,0
206,38,1,1,203,36,20200128,2,1
278,72,2,1,274,71,20200129,2,0
352,74,3,1,347,73,20200130,2,0
422,70,3,0,417,70,20200131,2,0
493,71,4,1,487,70,20200201,2,0
566,73,14,10,550,63,20200202,2,0
675,109,20,6,653,103,20200203,2,0
764,89,41,21,721,68,20200204,2,0
851,87,54,13,795,74,20200205,2,0
914,63,68,14,843,48,20200206,3,1
981,67,97,29,880,37,20200207,4,1
1033,52,131,34,896,16,20200208,6,2
1073,40,169,38,898,2,20200209,6,0
1105,32,198,29,900,2,20200210,7,1
1135,30,231,33,896,-4,20200211,8,1
1169,34,258,27,901,5,20200212,10,2
1184,15,313,55,860,-41,20200213,11,1
1212,28,356,43,843,-17,20200214,13,2
1231,19,397,41,821,-22,20200215,13,0
1246,15,438,41,792,-29,20200216,16,3
1257,11,505,67,733,-59,20200217,19,3
1262,5,552,47,691,-42,20200218,19,0
1265,3,614,62,632,-59,20200219,19,0
1267,2,717,103,531,-101,20200220,19,0
1270,3,802,85,449,-82,20200221,19,0
1271,1,861,59,391,-58,20200222,19,0
1271,0,930,69,322,-69,20200223,19,0
1271,0,989,59,263,-59,20200224,19,0
1271,0,1023,34,229,-34,20200225,19,0
1272,1,1062,39,190,-39,20200226,20,1
1272,0,1103,41,149,-41,20200227,20,0
1272,0,1161,58,90,-59,20200228,21,1
1272,0,1185,24,65,-25,20200229,22,1
1272,0,1205,20,45,-20,20200301,22,0
1272,0,1223,18,27,-18,20200302,22,0
1272,0,1234,11,16,-11,20200303,22,0
1272,0,1239,5,11,-5,20200304,22,0
1272,0,1241,2,9,-2,20200305,22,0
1272,0,1243,2,7,-2,20200306,22,0
1272,0,1246,3,4,-3,20200307,22,0
1272,0,1247,1,3,-1,20200308,22,0
1272,0,1247,0,3,0,20200309,22,0
1272,0,1249,2,1,-2,20200310,22,0
1273,1,1249,0,2,1,20200311,22,0
1273,0,1249,0,2,0,20200312,22,0
1273,0,1249,0,2,0,20200313,22,0
1273,0,1250,1,1,-1,20200314,22,0
1273,0,1250,0,1,0,20200315,22,0
1273,0,1250,0,1,0,20200316,22,0
1273,0,1250,0,1,0,20200317,22,0
1273,0,1250,0,1,0,20200318,22,0
1273,0,1250,0,1,0,20200319,22,0
1273,0,1250,0,1,0,20200320,22,0
1273,0,1250,0,1,0,20200321,22,0
1274,1,1250,0,2,1,20200322,22,0
1274,0,1250,0,2,0,20200323,22,0
1274,0,1250,0,2,0,20200324,22,0
1275,1,1250,0,3,1,20200325,22,0
1275,0,1250,0,3,0,20200326,22,0
1275,0,1251,1,2,-1,20200327,22,0
1276,1,1251,0,3,1,20200328,22,0
1276,0,1251,0,3,0,20200329,22,0
1276,0,1251,0,3,0,20200330,22,0
1276,0,1251,0,3,0,20200331,22,0
1276,0,1251,0,3,0,20200401,22,0
1276,0,1251,0,3,0,20200404,22,0
1276,0,1252,1,2,-1,20200405,22,0
1276,0,1252,0,2,0,20200406,22,0
