"cityName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId"
"武汉",445,50008,0,46991,2572,420100
"襄阳",1,1175,0,1135,39,420600
"宜昌",1,931,0,894,36,420500
"仙桃",1,575,0,552,22,429004
"孝感",0,3518,0,3389,129,420900
"黄冈",0,2907,0,2782,125,421100
"荆州",0,1580,0,1528,52,421000
"鄂州",0,1394,0,1335,59,420700
"随州",0,1307,0,1262,45,421300
"黄石",0,1015,0,976,39,420200
"荆门",0,928,0,887,41,420800
"咸宁",0,836,0,821,15,421200
"十堰",0,672,0,664,8,420300
"天门",0,496,0,481,15,429006
"恩施州",0,252,0,245,7,422800
"潜江",0,198,0,189,9,429005
"神农架林区",0,11,0,11,0,429021
