"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
1,1,0,0,1,1,20200122,0,0
2,1,0,0,2,1,20200123,0,0
2,0,0,0,2,0,20200124,0,0
2,0,0,0,2,0,20200125,0,0
5,3,0,0,5,3,20200126,0,0
7,2,0,0,7,2,20200127,0,0
7,0,0,0,7,0,20200128,0,0
7,0,0,0,7,0,20200129,0,0
7,0,0,0,7,0,20200130,0,0
7,0,0,0,7,0,20200131,0,0
7,0,0,0,7,0,20200201,0,0
8,1,0,0,8,1,20200202,0,0
8,0,0,0,8,0,20200203,0,0
10,2,0,0,10,2,20200204,0,0
10,0,0,0,10,0,20200205,0,0
10,0,1,1,9,-1,20200206,0,0
10,0,1,0,9,0,20200207,0,0
10,0,1,0,9,0,20200208,0,0
10,0,1,0,9,0,20200209,0,0
10,0,1,0,9,0,20200210,0,0
10,0,1,0,9,0,20200211,0,0
10,0,2,1,8,-1,20200212,0,0
10,0,3,1,7,-1,20200213,0,0
10,0,3,0,7,0,20200214,0,0
10,0,3,0,7,0,20200215,0,0
10,0,5,2,5,-2,20200216,0,0
10,0,5,0,5,0,20200217,0,0
10,0,5,0,5,0,20200218,0,0
10,0,6,1,4,-1,20200219,0,0
10,0,6,0,4,0,20200220,0,0
10,0,6,0,4,0,20200221,0,0
10,0,6,0,4,0,20200222,0,0
10,0,6,0,4,0,20200223,0,0
10,0,6,0,4,0,20200224,0,0
10,0,7,1,3,-1,20200225,0,0
10,0,7,0,3,0,20200226,0,0
10,0,8,1,2,-1,20200227,0,0
10,0,8,0,2,0,20200228,0,0
10,0,8,0,2,0,20200229,0,0
10,0,8,0,2,0,20200301,0,0
10,0,8,0,2,0,20200302,0,0
10,0,9,1,1,-1,20200303,0,0
10,0,9,0,1,0,20200304,0,0
10,0,9,0,1,0,20200305,0,0
10,0,10,1,0,-1,20200306,0,0
10,0,10,0,0,0,20200307,0,0
10,0,10,0,0,0,20200308,0,0
10,0,10,0,0,0,20200309,0,0
10,0,10,0,0,0,20200310,0,0
10,0,10,0,0,0,20200311,0,0
10,0,10,0,0,0,20200312,0,0
10,0,10,0,0,0,20200313,0,0
10,0,10,0,0,0,20200314,0,0
11,1,10,0,1,1,20200315,0,0
11,0,10,0,1,0,20200316,0,0
13,2,10,0,3,2,20200317,0,0
17,4,10,0,7,4,20200318,0,0
17,0,10,0,7,0,20200319,0,0
17,0,10,0,7,0,20200320,0,0
18,1,10,0,8,1,20200321,0,0
21,3,10,0,11,3,20200322,0,0
25,4,10,0,15,4,20200323,0,0
26,1,10,0,16,1,20200324,0,0
30,4,10,0,20,4,20200325,0,0
33,3,10,0,23,3,20200326,0,0
34,1,10,0,24,1,20200327,0,0
37,3,10,0,27,3,20200328,0,0
38,1,10,0,28,1,20200329,0,0
39,1,10,0,29,1,20200330,0,0
41,2,10,0,31,2,20200331,0,0
41,0,10,0,31,0,20200401,0,0
44,3,10,0,34,3,20200404,0,0
44,0,10,0,34,0,20200405,0,0
44,0,10,0,34,0,20200406,0,0
