"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
2,2,0,0,2,2,20200123,0,0
4,2,0,0,4,2,20200124,0,0
7,3,0,0,7,3,20200125,0,0
14,7,0,0,14,7,20200126,0,0
19,5,0,0,19,5,20200127,0,0
24,5,0,0,24,5,20200128,0,0
26,2,0,0,26,2,20200129,0,0
29,3,0,0,29,3,20200130,0,0
35,6,0,0,35,6,20200131,0,0
40,5,0,0,40,5,20200201,0,0
51,11,3,3,48,8,20200202,0,0
55,4,3,0,52,4,20200203,0,0
57,2,4,1,53,1,20200204,0,0
62,5,6,2,56,3,20200205,0,0
67,5,9,3,58,2,20200206,0,0
71,4,9,0,61,3,20200207,1,1
79,8,12,3,66,5,20200208,1,0
83,4,16,4,65,-1,20200209,2,1
86,3,21,5,63,-2,20200210,2,0
86,0,24,3,60,-3,20200211,2,0
87,1,31,7,54,-6,20200212,2,0
90,3,39,8,49,-5,20200213,2,0
90,0,44,5,44,-5,20200214,2,0
90,0,49,5,39,-5,20200215,2,0
90,0,54,5,34,-5,20200216,2,0
91,1,58,4,31,-3,20200217,2,0
91,0,62,4,27,-4,20200218,2,0
91,0,65,3,24,-3,20200219,2,0
91,0,71,6,18,-6,20200220,2,0
91,0,76,5,13,-5,20200221,2,0
91,0,76,0,13,0,20200222,2,0
91,0,78,2,11,-2,20200223,2,0
91,0,80,2,9,-2,20200224,2,0
91,0,80,0,9,0,20200225,2,0
91,0,81,1,8,-1,20200226,2,0
91,0,82,1,7,-1,20200227,2,0
91,0,82,0,7,0,20200228,2,0
91,0,82,0,7,0,20200229,2,0
91,0,84,2,5,-2,20200301,2,0
91,0,85,1,4,-1,20200302,2,0
91,0,86,1,3,-1,20200303,2,0
91,0,87,1,2,-1,20200304,2,0
102,11,87,0,13,11,20200305,2,0
119,17,87,0,30,17,20200306,2,0
120,1,87,0,31,1,20200307,2,0
124,4,87,0,35,4,20200308,2,0
124,0,88,1,34,-1,20200309,2,0
125,1,88,0,35,1,20200310,2,0
127,2,88,0,37,2,20200311,2,0
127,0,88,0,37,0,20200312,2,0
129,2,89,1,38,1,20200313,2,0
132,3,91,2,39,1,20200314,2,0
133,1,91,0,40,1,20200315,2,0
133,0,91,0,40,0,20200316,2,0
133,0,91,0,40,0,20200317,2,0
133,0,91,0,40,0,20200318,2,0
134,1,98,7,34,-6,20200319,2,0
134,0,113,15,19,-15,20200320,2,0
134,0,113,0,19,0,20200321,2,0
136,2,114,1,20,1,20200322,2,0
136,0,118,4,16,-4,20200323,2,0
136,0,119,1,15,-1,20200324,2,0
136,0,121,2,13,-2,20200325,2,0
136,0,123,2,11,-2,20200326,2,0
136,0,125,2,9,-2,20200327,2,0
136,0,125,0,9,0,20200328,2,0
137,1,125,0,10,1,20200329,2,0
138,1,125,0,11,1,20200330,2,0
138,0,125,0,11,0,20200331,2,0
138,0,127,2,9,-2,20200401,2,0
138,0,131,4,5,-4,20200404,2,0
139,1,132,1,5,0,20200405,2,0
139,0,132,0,5,0,20200406,2,0
