"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
1,1,0,0,1,1,20200122,0,0
3,2,0,0,3,2,20200123,0,0
18,15,0,0,18,15,20200124,0,0
29,11,0,0,29,11,20200125,0,0
56,27,0,0,56,27,20200126,0,0
59,3,0,0,59,3,20200127,0,0
82,23,0,0,82,23,20200128,0,0
101,19,0,0,101,19,20200129,0,0
120,19,0,0,120,19,20200130,0,0
144,24,0,0,144,24,20200131,0,0
159,15,0,0,159,15,20200201,0,0
179,20,0,0,179,20,20200202,0,0
194,15,1,1,193,14,20200203,0,0
205,11,7,6,198,5,20200204,0,0
215,10,11,4,204,6,20200205,0,0
224,9,15,4,209,5,20200206,0,0
239,15,20,5,219,10,20200207,0,0
250,11,24,4,226,7,20200208,0,0
261,11,35,11,226,0,20200209,0,0
267,6,39,4,228,2,20200210,0,0
272,5,46,7,226,-2,20200211,0,0
279,7,54,8,225,-1,20200212,0,0
281,2,59,5,222,-3,20200213,0,0
285,4,66,7,219,-3,20200214,0,0
287,2,77,11,210,-9,20200215,0,0
290,3,84,7,206,-4,20200216,0,0
292,2,91,7,201,-5,20200217,0,0
293,1,96,5,197,-4,20200218,0,0
293,0,112,16,180,-17,20200219,1,1
293,0,134,22,158,-22,20200220,1,0
293,0,150,16,142,-16,20200221,1,0
293,0,165,15,127,-15,20200222,1,0
293,0,174,9,118,-9,20200223,1,0
294,1,188,14,105,-13,20200224,1,0
294,0,205,17,88,-17,20200225,1,0
296,2,225,20,70,-18,20200226,1,0
296,0,232,7,63,-7,20200227,1,0
296,0,241,9,54,-9,20200228,1,0
296,0,243,2,52,-2,20200229,1,0
296,0,247,4,48,-4,20200301,1,0
296,0,255,8,40,-8,20200302,1,0
296,0,261,6,34,-6,20200303,1,0
296,0,270,9,25,-9,20200304,1,0
296,0,278,8,17,-8,20200305,1,0
296,0,284,6,11,-6,20200306,1,0
296,0,295,11,0,-11,20200307,1,0
296,0,295,0,0,0,20200308,1,0
296,0,295,0,0,0,20200309,1,0
296,0,295,0,0,0,20200310,1,0
296,0,295,0,0,0,20200311,1,0
296,0,295,0,0,0,20200312,1,0
296,0,295,0,0,0,20200313,1,0
296,0,295,0,0,0,20200314,1,0
296,0,295,0,0,0,20200315,1,0
296,0,295,0,0,0,20200316,1,0
296,0,295,0,0,0,20200317,1,0
296,0,295,0,0,0,20200318,1,0
299,3,295,0,3,3,20200319,1,0
303,4,295,0,7,4,20200320,1,0
307,4,295,0,11,4,20200321,1,0
313,6,295,0,17,6,20200322,1,0
318,5,295,0,22,5,20200323,1,0
322,4,295,0,26,4,20200324,1,0
328,6,295,0,32,6,20200325,1,0
331,3,295,0,35,3,20200326,1,0
337,6,295,0,41,6,20200327,1,0
338,1,295,0,42,1,20200328,1,0
340,2,295,0,44,2,20200329,1,0
343,3,295,0,47,3,20200330,1,0
345,2,297,2,47,0,20200331,1,0
345,0,299,2,45,-2,20200401,1,0
350,5,303,4,46,1,20200404,1,0
350,0,305,2,44,-2,20200405,1,0
351,1,305,0,45,1,20200406,1,0
