"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
2,2,0,0,2,2,20200122,0,0
3,1,0,0,3,1,20200123,0,0
12,9,0,0,12,9,20200124,0,0
19,7,0,0,19,7,20200125,0,0
22,3,0,0,22,3,20200126,0,0
27,5,0,0,27,5,20200127,0,0
36,9,0,0,36,9,20200128,0,0
39,3,1,1,38,2,20200129,0,0
45,6,1,0,44,6,20200130,0,0
60,15,1,0,59,15,20200131,0,0
64,4,1,0,63,4,20200201,0,0
70,6,1,0,69,6,20200202,0,0
77,7,1,0,76,7,20200203,0,0
81,4,2,1,79,3,20200204,0,0
89,8,4,2,85,6,20200205,0,0
94,5,5,1,89,4,20200206,0,0
99,5,7,2,92,3,20200207,0,0
106,7,12,5,94,2,20200208,0,0
108,2,12,0,96,2,20200209,0,0
108,0,17,5,91,-5,20200210,0,0
111,3,18,1,93,2,20200211,0,0
116,5,20,2,95,2,20200212,1,1
117,1,22,2,94,-1,20200213,1,0
119,2,29,7,89,-5,20200214,1,0
120,1,32,3,87,-2,20200215,1,0
121,1,41,9,79,-8,20200216,1,0
121,0,43,2,77,-2,20200217,1,0
121,0,55,12,65,-12,20200218,1,0
121,0,58,3,62,-3,20200219,1,0
121,0,61,3,59,-3,20200220,1,0
121,0,66,5,54,-5,20200221,1,0
121,0,68,2,52,-2,20200222,1,0
121,0,73,5,47,-5,20200223,1,0
121,0,83,10,37,-10,20200224,1,0
121,0,88,5,32,-5,20200225,1,0
121,0,92,4,28,-4,20200226,1,0
121,0,93,1,27,-1,20200227,1,0
121,0,95,2,25,-2,20200228,1,0
122,1,101,6,20,-5,20200229,1,0
122,0,103,2,18,-2,20200301,1,0
125,3,103,0,21,3,20200302,1,0
125,0,106,3,18,-3,20200303,1,0
125,0,106,0,18,0,20200304,1,0
125,0,106,0,18,0,20200305,1,0
125,0,106,0,18,0,20200306,1,0
125,0,108,2,16,-2,20200307,1,0
125,0,109,1,15,-1,20200308,1,0
125,0,110,1,14,-1,20200309,1,0
125,0,111,1,13,-1,20200310,1,0
125,0,111,0,13,0,20200311,1,0
125,0,112,1,12,-1,20200312,1,0
125,0,113,1,11,-1,20200313,1,0
125,0,113,0,11,0,20200314,1,0
125,0,114,1,10,-1,20200315,1,0
125,0,119,5,5,-5,20200316,1,0
125,0,122,3,2,-3,20200317,1,0
125,0,122,0,2,0,20200318,1,0
126,1,122,0,2,0,20200319,2,1
126,0,122,0,2,0,20200320,2,0
126,0,122,0,2,0,20200321,2,0
127,1,124,2,1,-1,20200322,2,0
127,0,124,0,1,0,20200323,2,0
127,0,124,0,1,0,20200324,2,0
127,0,124,0,1,0,20200325,2,0
128,1,124,0,2,1,20200326,2,0
131,3,124,0,5,3,20200327,2,0
134,3,124,0,8,3,20200328,2,0
136,2,124,0,10,2,20200329,2,0
139,3,124,0,13,3,20200330,2,0
140,1,124,0,14,1,20200331,2,0
140,0,124,0,14,0,20200401,2,0
142,2,126,2,14,0,20200404,2,0
142,0,128,2,12,-2,20200405,2,0
144,2,130,2,12,0,20200406,2,0
