"cityName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId"
"境外输入",3,3,0,0,0,0
"万州区",0,118,0,114,4,500101
"江北区",0,28,0,28,0,500105
"云阳县",0,25,0,25,0,500235
"合川区",0,23,0,23,0,500117
"綦江区",0,23,0,23,0,500110
"长寿区",0,22,0,22,0,500115
"奉节县",0,22,0,22,0,500236
"九龙坡区",0,21,0,20,1,500107
"开州区",0,21,0,20,1,500154
"忠县",0,21,0,21,0,500233
"渝中区",0,20,0,20,0,500103
"垫江县",0,20,0,20,0,500231
"潼南区",0,18,0,18,0,500152
"渝北区",0,17,0,17,0,500112
"两江新区",0,17,0,17,0,-1
"南岸区",0,15,0,15,0,500108
"石柱县",0,15,0,15,0,500240
"大足区",0,14,0,14,0,500111
"巫溪县",0,14,0,14,0,500238
"铜梁区",0,10,0,10,0,500151
"丰都县",0,10,0,10,0,500230
"巫山县",0,10,0,10,0,500237
"沙坪坝区",0,9,0,9,0,500106
"璧山区",0,9,0,9,0,500120
"荣昌区",0,9,0,9,0,500153
"大渡口区",0,7,0,7,0,500104
"巴南区",0,6,0,6,0,500113
"涪陵区",0,5,0,5,0,500102
"永川区",0,5,0,5,0,500118
"江津区",0,4,0,4,0,500116
"梁平区",0,4,0,4,0,500155
"高新区",0,4,0,4,0,0
"黔江区",0,2,0,2,0,500114
"城口县",0,2,0,2,0,500229
"彭水县",0,2,0,2,0,500243
"武隆区",0,1,0,1,0,500156
"秀山县",0,1,0,1,0,500241
"酉阳县",0,1,0,1,0,0
"万盛经开区",0,1,0,1,0,0
