"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
3,3,0,0,3,3,20200123,0,0
5,2,0,0,5,2,20200124,0,0
22,17,0,0,22,17,20200125,0,0
35,13,0,0,35,13,20200126,0,0
46,11,0,0,46,11,20200127,0,0
56,10,0,0,56,10,20200128,0,0
63,7,0,0,63,7,20200129,0,0
87,24,0,0,87,24,20200130,0,0
101,14,0,0,101,14,20200131,0,0
116,15,0,0,116,15,20200201,0,0
128,12,0,0,128,12,20200202,0,0
142,14,0,0,142,14,20200203,0,0
165,23,1,1,164,22,20200204,0,0
173,8,2,1,171,7,20200205,0,0
184,11,6,4,178,7,20200206,0,0
195,11,11,5,184,6,20200207,0,0
208,13,17,6,191,7,20200208,0,0
213,5,20,3,193,2,20200209,0,0
219,6,26,6,193,0,20200210,0,0
225,6,31,5,194,1,20200211,0,0
225,0,36,5,189,-5,20200212,0,0
229,4,42,6,187,-2,20200213,0,0
230,1,49,7,181,-6,20200214,0,0
232,2,53,4,179,-2,20200215,0,0
236,4,64,11,172,-7,20200216,0,0
240,4,74,10,166,-6,20200217,0,0
240,0,79,5,161,-5,20200218,0,0
242,2,89,10,153,-8,20200219,0,0
245,3,105,16,139,-14,20200220,1,1
245,0,140,35,104,-35,20200221,1,0
245,0,153,13,91,-13,20200222,1,0
245,0,162,9,82,-9,20200223,1,0
245,0,175,13,69,-13,20200224,1,0
245,0,186,11,58,-11,20200225,1,0
245,0,194,8,50,-8,20200226,1,0
245,0,197,3,47,-3,20200227,1,0
245,0,200,3,44,-3,20200228,1,0
245,0,207,7,37,-7,20200229,1,0
245,0,209,2,35,-2,20200301,1,0
245,0,216,7,28,-7,20200302,1,0
245,0,218,2,26,-2,20200303,1,0
245,0,222,4,22,-4,20200304,1,0
245,0,224,2,20,-2,20200305,1,0
245,0,226,2,18,-2,20200306,1,0
245,0,226,0,18,0,20200307,1,0
245,0,227,1,17,-1,20200308,1,0
245,0,227,0,17,0,20200309,1,0
245,0,227,0,17,0,20200310,1,0
245,0,232,5,11,-6,20200311,2,1
245,0,232,0,11,0,20200312,2,0
245,0,232,0,11,0,20200313,2,0
245,0,232,0,11,0,20200314,2,0
245,0,232,0,11,0,20200315,2,0
246,1,233,1,10,-1,20200316,3,1
246,0,236,3,7,-3,20200317,3,0
246,0,237,1,6,-1,20200318,3,0
247,1,237,0,7,1,20200319,3,0
248,1,239,2,6,-1,20200320,3,0
248,0,239,0,6,0,20200321,3,0
248,0,239,0,6,0,20200322,3,0
249,1,240,1,6,0,20200323,3,0
250,1,240,0,7,1,20200324,3,0
253,3,242,2,8,1,20200325,3,0
253,0,242,0,8,0,20200326,3,0
253,0,242,0,8,0,20200327,3,0
253,0,242,0,8,0,20200328,3,0
253,0,242,0,8,0,20200329,3,0
253,0,242,0,8,0,20200330,3,0
255,2,242,0,10,2,20200331,3,0
255,0,242,0,10,0,20200401,3,0
256,1,245,3,8,-2,20200404,3,0
256,0,246,1,7,-1,20200405,3,0
256,0,246,0,7,0,20200406,3,0
