"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
1,1,0,0,1,1,20200122,0,0
2,1,0,0,2,1,20200123,0,0
5,3,0,0,5,3,20200124,0,0
5,0,0,0,5,0,20200125,0,0
8,3,0,0,8,3,20200126,0,0
8,0,0,0,8,0,20200127,0,0
8,0,0,0,8,0,20200128,0,0
10,2,0,0,10,2,20200129,0,0
12,2,0,0,12,2,20200130,0,0
13,1,0,0,13,1,20200131,0,0
14,1,0,0,14,1,20200201,0,0
15,1,0,0,15,1,20200202,0,0
15,0,0,0,15,0,20200203,0,0
18,3,0,0,17,2,20200204,1,1
21,3,0,0,20,3,20200205,1,0
24,3,0,0,23,3,20200206,1,0
26,2,0,0,25,2,20200207,1,0
26,0,0,0,25,0,20200208,1,0
36,10,0,0,35,10,20200209,1,0
42,6,0,0,41,6,20200210,1,0
49,7,0,0,48,7,20200211,1,0
50,1,1,1,48,0,20200212,1,0
53,3,1,0,51,3,20200213,1,0
56,3,1,0,54,3,20200214,1,0
56,0,1,0,54,0,20200215,1,0
57,1,2,1,54,0,20200216,1,0
60,3,2,0,57,3,20200217,1,0
62,2,4,2,57,0,20200218,1,0
65,3,5,1,58,1,20200219,2,1
68,3,5,0,61,3,20200220,2,0
68,0,6,1,60,-1,20200221,2,0
69,1,11,5,56,-4,20200222,2,0
74,5,12,1,60,4,20200223,2,0
81,7,19,7,60,0,20200224,2,0
85,4,18,-1,65,5,20200225,2,0
91,6,24,6,65,0,20200226,2,0
93,2,26,2,65,0,20200227,2,0
94,1,30,4,62,-3,20200228,2,0
95,1,33,3,60,-2,20200229,2,0
98,3,36,3,60,0,20200301,2,0
100,2,36,0,62,2,20200302,2,0
100,0,37,1,61,-1,20200303,2,0
105,5,43,6,60,-1,20200304,2,0
105,0,46,3,57,-3,20200305,2,0
107,2,51,5,54,-3,20200306,2,0
109,2,55,4,52,-2,20200307,2,0
114,5,59,4,52,0,20200308,3,1
115,1,60,1,52,0,20200309,3,0
120,5,65,5,52,0,20200310,3,0
129,9,67,2,59,7,20200311,3,0
131,2,75,8,53,-6,20200312,3,0
137,6,78,3,55,2,20200313,4,1
141,4,81,3,56,1,20200314,4,0
149,8,84,3,61,5,20200315,4,0
157,8,88,4,65,4,20200316,4,0
167,10,92,4,71,6,20200317,4,0
192,25,95,3,93,22,20200318,4,0
208,16,98,3,106,13,20200319,4,0
256,48,98,0,154,48,20200320,4,0
273,17,100,2,169,15,20200321,4,0
317,44,100,0,213,44,20200322,4,0
356,39,101,1,251,38,20200323,4,0
386,30,102,1,280,29,20200324,4,0
410,24,106,4,300,20,20200325,4,0
453,43,110,4,339,39,20200326,4,0
518,65,111,1,403,64,20200327,4,0
582,64,112,1,466,63,20200328,4,0
641,59,118,6,519,53,20200329,4,0
682,41,124,6,554,35,20200330,4,0
714,32,128,4,582,28,20200331,4,0
765,51,147,19,614,32,20200401,4,0
862,97,186,39,672,58,20200404,4,0
890,28,206,20,680,8,20200405,4,0
914,24,216,10,694,14,20200406,4,0
