"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
4,4,0,0,3,3,20200123,1,1
9,5,0,0,8,5,20200124,1,0
15,6,0,0,14,6,20200125,1,0
21,6,0,0,20,6,20200126,1,0
30,9,0,0,29,9,20200127,1,0
37,7,0,0,36,7,20200128,1,0
43,6,0,0,42,6,20200129,1,0
59,16,0,0,57,15,20200130,2,1
80,21,0,0,78,21,20200131,2,0
95,15,2,2,91,13,20200201,2,0
118,23,2,0,114,23,20200202,2,0
155,37,2,0,151,37,20200203,2,0
190,35,4,2,184,33,20200204,2,0
227,37,7,3,217,33,20200205,3,1
277,50,8,1,266,49,20200206,3,0
295,18,12,4,278,12,20200207,5,2
307,12,13,1,288,10,20200208,6,1
331,24,15,2,309,21,20200209,7,1
360,29,27,12,325,16,20200210,8,1
378,18,28,1,342,17,20200211,8,0
395,17,31,3,355,13,20200212,9,1
418,23,37,6,370,15,20200213,11,2
425,7,48,11,366,-4,20200214,11,0
445,20,70,22,364,-2,20200215,11,0
457,12,80,10,366,2,20200216,11,0
464,7,85,5,368,2,20200217,11,0
470,6,108,23,350,-18,20200218,12,1
476,6,123,15,341,-9,20200219,12,0
479,3,141,18,326,-15,20200220,12,0
479,0,183,42,284,-42,20200221,12,0
480,1,215,32,253,-31,20200222,12,0
480,0,224,9,244,-9,20200223,12,0
480,0,232,8,236,-8,20200224,12,0
480,0,245,13,223,-13,20200225,12,0
480,0,262,17,205,-18,20200226,13,1
480,0,280,18,187,-18,20200227,13,0
480,0,295,15,172,-15,20200228,13,0
480,0,330,35,137,-35,20200229,13,0
480,0,350,20,117,-20,20200301,13,0
480,0,358,8,109,-8,20200302,13,0
480,0,372,14,95,-14,20200303,13,0
481,1,379,7,89,-6,20200304,13,0
481,0,380,1,88,-1,20200305,13,0
481,0,402,22,66,-22,20200306,13,0
481,0,409,7,59,-7,20200307,13,0
481,0,421,12,47,-12,20200308,13,0
481,0,434,13,34,-13,20200309,13,0
482,1,435,1,34,0,20200310,13,0
482,0,440,5,29,-5,20200311,13,0
482,0,446,6,23,-6,20200312,13,0
482,0,447,1,22,-1,20200313,13,0
482,0,453,6,16,-6,20200314,13,0
482,0,454,1,15,-1,20200315,13,0
482,0,456,2,13,-2,20200316,13,0
482,0,459,3,10,-3,20200317,13,0
483,1,460,1,10,0,20200318,13,0
484,1,463,3,8,-2,20200319,13,0
484,0,463,0,8,0,20200320,13,0
484,0,465,2,6,-2,20200321,13,0
484,0,465,0,6,0,20200322,13,0
484,0,468,3,3,-3,20200323,13,0
484,0,468,0,3,0,20200324,13,0
484,0,469,1,2,-1,20200325,13,0
484,0,469,0,2,0,20200326,13,0
484,0,469,0,2,0,20200327,13,0
484,0,469,0,2,0,20200328,13,0
484,0,469,0,2,0,20200329,13,0
484,0,469,0,2,0,20200330,13,0
484,0,469,0,2,0,20200331,13,0
488,4,469,0,6,4,20200401,13,0
504,16,469,0,22,16,20200404,13,0
524,20,469,0,42,20,20200405,13,0
544,20,469,0,62,20,20200406,13,0
